loc,v(g),ev(g),iv(g),l,d,i,b,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
6.0,1.0,1.0,1.0,0.4,2.5,24.38,0.02,3,0,0,0,5.0,7.0,10.0,7.0,1.0,False
9.0,1.0,1.0,1.0,0.25,4.0,17.03,0.02,6,0,1,0,6.0,6.0,11.0,8.0,1.0,False
8.0,1.0,1.0,1.0,0.29,3.5,14.8,0.02,6,0,0,0,7.0,5.0,11.0,5.0,1.0,False
40.0,6.0,4.0,5.0,0.07,14.26,44.47,0.23,32,2,4,0,13.0,27.0,62.0,61.0,11.0,False
17.0,5.0,1.0,3.0,0.07,14.0,20.49,0.09,15,0,1,0,13.0,13.0,28.0,28.0,9.0,False
14.0,2.0,1.0,2.0,0.14,7.22,20.0,0.05,5,0,1,2,10.0,9.0,21.0,13.0,3.0,False
8.0,2.0,1.0,2.0,0.14,7.5,23.57,0.05,6,0,0,0,9.0,9.0,23.0,15.0,3.0,False
6.0,2.0,1.0,1.0,0.29,3.5,15.86,0.02,3,0,0,0,7.0,8.0,9.0,6.0,3.0,False
47.0,10.0,1.0,6.0,0.05,20.85,52.77,0.36,38,1,6,0,19.0,36.0,100.0,81.0,19.0,False
38.0,6.0,5.0,4.0,0.07,15.3,33.35,0.17,34,0,2,0,17.0,20.0,63.0,38.0,11.0,False
76.0,13.0,10.0,13.0,0.04,23.68,58.85,0.5,59,0,9,0,21.0,39.0,140.0,106.0,25.0,False
46.0,3.0,1.0,3.0,0.06,16.23,52.6,0.3,38,0,4,0,11.0,25.0,93.0,68.0,5.0,False
85.0,10.0,9.0,7.0,0.03,31.2,49.65,0.54,68,4,7,0,24.0,40.0,175.0,89.0,19.0,False
20.0,2.0,1.0,2.0,0.21,4.8,28.67,0.05,15,0,3,0,8.0,10.0,21.0,12.0,3.0,False
13.0,3.0,1.0,2.0,0.15,6.5,21.15,0.04,10,0,1,0,9.0,9.0,20.0,12.0,5.0,False
65.0,12.0,4.0,7.0,0.02,40.07,29.78,0.41,49,4,8,0,20.0,22.0,145.0,84.0,23.0,False
8.0,2.0,1.0,1.0,0.25,4.0,12.8,0.02,5,0,1,0,8.0,5.0,10.0,5.0,3.0,False
17.0,2.0,1.0,2.0,0.17,5.79,18.76,0.04,13,0,3,0,9.0,7.0,18.0,9.0,3.0,False
8.0,3.0,3.0,1.0,0.15,6.67,14.4,0.03,6,0,1,0,8.0,8.0,14.0,10.0,5.0,False
76.0,5.0,1.0,3.0,0.06,17.51,74.79,0.49,60,0,12,0,17.0,43.0,161.0,103.0,9.0,False
51.0,7.0,1.0,4.0,0.04,24.06,28.32,0.25,36,1,11,0,16.0,18.0,84.0,57.0,13.0,False
20.0,3.0,1.0,3.0,0.16,6.4,21.49,0.04,8,3,4,0,8.0,10.0,18.0,12.0,5.0,False
12.0,2.0,1.0,2.0,0.12,8.25,15.86,0.04,9,0,1,0,11.0,6.0,21.0,10.0,3.0,False
184.0,30.0,28.0,21.0,0.02,39.26,85.99,1.13,139,24,11,14,22.0,65.0,292.0,232.0,59.0,False
33.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,False
18.0,2.0,1.0,2.0,0.1,10.77,23.78,0.08,12,0,4,0,14.0,13.0,28.0,20.0,3.0,False
45.0,5.0,1.0,5.0,0.06,16.36,40.74,0.21,28,4,5,0,18.0,22.0,68.0,47.0,9.0,False
24.0,4.0,4.0,4.0,0.06,15.88,24.02,0.13,18,0,4,0,14.0,17.0,43.0,36.0,7.0,False
32.0,6.0,1.0,4.0,0.06,16.58,33.52,0.18,28,0,0,0,19.0,18.0,59.0,42.0,7.0,False
11.0,2.0,1.0,1.0,0.16,6.3,15.44,0.03,7,0,2,0,9.0,5.0,17.0,7.0,3.0,False
5.0,1.0,1.0,1.0,0.29,3.5,20.09,0.02,3,0,0,0,7.0,7.0,11.0,7.0,1.0,False
23.0,5.0,1.0,1.0,0.09,10.91,17.02,0.06,21,0,0,0,13.0,11.0,29.0,16.0,6.0,False
5.0,1.0,1.0,1.0,0.4,2.5,15.95,0.01,4,1,0,0,5.0,5.0,7.0,5.0,1.0,False
22.0,5.0,5.0,4.0,0.08,12.83,22.25,0.1,13,0,4,0,14.0,12.0,38.0,20.0,9.0,False
40.0,4.0,1.0,3.0,0.08,12.89,44.34,0.16,34,0,5,0,14.0,22.0,63.0,42.0,7.0,False
26.0,5.0,1.0,3.0,0.09,11.38,28.03,0.1,16,2,6,0,14.0,17.0,39.0,28.0,9.0,False
19.0,1.0,1.0,1.0,0.13,8.0,14.63,0.05,8,2,6,0,14.0,6.0,27.0,8.0,1.0,False
21.0,3.0,1.0,2.0,0.07,13.93,14.87,0.06,16,0,2,0,13.0,7.0,25.0,15.0,5.0,False
11.0,1.0,1.0,1.0,0.24,4.2,25.84,0.04,5,1,2,0,7.0,10.0,13.0,12.0,1.0,False
51.0,10.0,1.0,2.0,0.03,33.08,24.03,0.29,40,0,8,0,21.0,19.0,98.0,62.0,19.0,False
39.0,10.0,6.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,False
12.0,4.0,1.0,4.0,0.16,6.22,23.6,0.05,11,0,1,0,8.0,10.0,20.0,15.0,7.0,False
24.0,4.0,1.0,3.0,0.07,13.56,40.7,0.18,12,0,3,0,15.0,26.0,56.0,47.0,7.0,False
6.0,1.0,1.0,1.0,0.36,2.78,28.78,0.03,4,0,0,0,5.0,9.0,14.0,10.0,1.0,False
9.0,2.0,1.0,1.0,0.29,3.5,15.86,0.02,6,0,1,0,7.0,5.0,9.0,5.0,3.0,False
4.0,1.0,1.0,1.0,0.29,3.5,13.32,0.02,2,0,0,0,7.0,5.0,7.0,5.0,1.0,False
16.0,2.0,1.0,2.0,0.15,6.67,19.75,0.04,8,1,2,1,8.0,9.0,16.0,15.0,3.0,False
23.0,6.0,1.0,2.0,0.05,18.41,18.13,0.11,17,0,2,0,15.0,11.0,45.0,27.0,11.0,False
28.0,3.0,1.0,2.0,0.05,19.95,21.25,0.14,23,1,2,0,17.0,13.0,58.0,30.0,5.0,False
43.0,7.0,5.0,3.0,0.05,20.63,31.55,0.21,39,0,2,0,19.0,24.0,73.0,44.0,13.0,False
10.0,2.0,1.0,2.0,0.11,8.75,10.34,0.03,6,1,1,1,10.0,4.0,15.0,9.0,3.0,False
7.0,3.0,3.0,1.0,0.11,9.0,11.95,0.03,5,0,0,0,12.0,6.0,16.0,7.0,5.0,False
16.0,2.0,1.0,2.0,0.13,7.7,31.12,0.08,12,0,2,0,11.0,15.0,29.0,23.0,3.0,False
32.0,3.0,1.0,3.0,0.08,13.09,50.48,0.23,24,0,4,0,16.0,33.0,73.0,56.0,5.0,False
5.0,1.0,1.0,1.0,0.29,3.5,15.86,0.02,3,0,0,0,7.0,6.0,10.0,8.0,1.0,False
83.0,8.0,1.0,8.0,0.05,22.69,80.26,0.59,71,0,5,0,17.0,44.0,176.0,131.0,15.0,False
39.0,16.0,13.0,4.0,0.04,28.0,29.46,0.27,30,0,7,0,23.0,22.0,87.0,68.0,31.0,False
25.0,1.0,1.0,1.0,0.09,11.08,23.77,0.09,18,0,5,0,12.0,12.0,38.0,23.0,1.0,False
20.0,3.0,1.0,3.0,0.08,12.5,21.27,0.09,11,2,2,0,12.0,12.0,38.0,20.0,5.0,False
58.0,5.0,1.0,5.0,0.08,12.8,62.79,0.27,47,1,9,0,14.0,30.0,89.0,58.0,9.0,False
13.0,2.0,1.0,2.0,0.23,4.38,36.14,0.05,9,0,2,0,7.0,12.0,20.0,15.0,3.0,False
12.0,2.0,1.0,2.0,0.13,7.88,15.45,0.04,7,0,3,0,9.0,8.0,17.0,14.0,3.0,False
13.0,5.0,1.0,4.0,0.1,9.63,17.13,0.06,9,0,2,0,12.0,9.0,23.0,14.0,9.0,False
69.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,False
6.0,1.0,1.0,1.0,0.44,2.29,24.22,0.02,3,0,1,0,4.0,7.0,8.0,8.0,1.0,False
37.0,8.0,1.0,5.0,0.06,16.32,45.36,0.25,29,0,6,0,17.0,25.0,84.0,53.0,15.0,False
7.0,2.0,1.0,2.0,0.5,2.0,13.5,0.01,5,0,0,0,4.0,4.0,6.0,4.0,3.0,False
42.0,6.0,1.0,5.0,0.05,19.42,30.45,0.21,34,2,3,0,19.0,21.0,76.0,47.0,11.0,False
13.0,2.0,1.0,2.0,0.15,6.6,12.12,0.03,8,0,3,1,11.0,4.0,14.0,5.0,3.0,False
18.0,3.0,1.0,3.0,0.09,10.0,19.89,0.07,13,0,3,0,12.0,10.0,25.0,20.0,5.0,False
37.0,13.0,8.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,False
11.0,1.0,1.0,1.0,0.11,8.75,16.68,0.05,8,0,1,0,10.0,8.0,21.0,14.0,1.0,False
37.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,False
12.0,1.0,1.0,1.0,0.17,6.0,16.05,0.03,8,0,2,0,6.0,6.0,14.0,12.0,1.0,False
7.0,1.0,1.0,1.0,0.29,3.5,15.86,0.02,4,0,1,0,7.0,5.0,10.0,5.0,1.0,False
37.0,6.0,1.0,4.0,0.07,14.57,23.56,0.11,31,0,2,0,15.0,14.0,39.0,31.0,7.0,False
14.0,2.0,1.0,1.0,0.13,8.0,15.12,0.04,8,0,2,0,11.0,6.0,21.0,8.0,3.0,False
51.0,6.0,5.0,3.0,0.03,35.64,46.32,0.48,40,0,2,6,23.0,34.0,138.0,112.0,11.0,False
153.0,34.0,26.0,11.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,67.0,False
11.0,3.0,3.0,2.0,0.19,5.25,13.4,0.02,7,1,1,0,9.0,5.0,11.0,7.0,5.0,False
10.0,2.0,1.0,1.0,0.36,2.75,30.79,0.02,7,1,1,0,5.0,7.0,10.0,11.0,3.0,False
16.0,4.0,1.0,4.0,0.17,6.0,28.55,0.06,14,0,0,0,6.0,10.0,26.0,16.0,7.0,False
5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
29.0,5.0,1.0,2.0,0.05,20.45,23.43,0.16,21,0,7,0,12.0,10.0,54.0,41.0,9.0,False
36.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,False
21.0,5.0,5.0,2.0,0.05,18.85,16.79,0.1,16,0,3,0,15.0,10.0,41.0,23.0,9.0,False
6.0,3.0,1.0,1.0,0.29,3.5,11.86,0.01,3,0,0,0,6.0,4.0,8.0,4.0,5.0,False
14.0,3.0,1.0,2.0,0.1,9.63,14.87,0.05,8,0,2,0,14.0,8.0,22.0,11.0,5.0,False
9.0,4.0,4.0,3.0,0.12,8.67,16.47,0.05,6,0,1,0,10.0,9.0,20.0,16.0,7.0,False
15.0,3.0,3.0,1.0,0.13,7.71,19.58,0.05,9,0,4,0,9.0,7.0,24.0,12.0,5.0,False
78.0,7.0,1.0,7.0,0.08,11.79,81.3,0.33,50,13,8,0,14.0,33.0,91.0,85.0,13.0,False
12.0,3.0,3.0,2.0,0.11,8.89,18.14,0.06,8,0,2,0,11.0,9.0,23.0,14.0,5.0,False
22.0,2.0,1.0,2.0,0.09,11.25,22.56,0.08,15,2,2,0,9.0,10.0,37.0,22.0,3.0,False
80.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,23.0,False
74.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,False
5.0,1.0,1.0,1.0,0.25,4.0,17.27,0.02,3,0,0,0,8.0,6.0,9.0,6.0,1.0,False
38.0,2.0,1.0,2.0,0.05,20.92,40.56,0.26,26,3,7,0,16.0,24.0,85.0,65.0,3.0,False
36.0,3.0,3.0,2.0,0.13,7.25,56.01,0.13,25,7,4,0,12.0,32.0,50.0,29.0,5.0,False
13.0,2.0,1.0,1.0,0.14,7.07,12.74,0.03,10,0,1,0,9.0,7.0,12.0,9.0,3.0,False
53.0,9.0,5.0,8.0,0.04,23.74,35.8,0.27,42,0,5,2,17.0,25.0,87.0,68.0,17.0,False
36.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,False
12.0,3.0,1.0,1.0,0.08,11.92,11.96,0.05,9,0,1,0,10.0,6.0,19.0,14.0,5.0,False
8.0,1.0,1.0,1.0,0.42,2.4,38.07,0.03,6,0,0,0,4.0,10.0,12.0,10.0,1.0,False
133.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,False
27.0,6.0,3.0,2.0,0.04,24.75,20.95,0.16,22,0,3,0,14.0,8.0,73.0,33.0,11.0,False
32.0,4.0,1.0,4.0,0.11,9.46,46.75,0.15,23,4,3,0,11.0,25.0,51.0,36.0,7.0,False
34.0,9.0,4.0,7.0,0.06,16.72,49.34,0.27,30,0,2,0,14.0,27.0,86.0,68.0,17.0,False
50.0,3.0,1.0,1.0,0.04,27.5,23.22,0.21,33,2,2,0,22.0,14.0,73.0,45.0,5.0,False
15.0,2.0,1.0,2.0,0.15,6.5,22.64,0.05,12,0,3,0,11.0,11.0,21.0,12.0,3.0,False
68.0,7.0,1.0,7.0,0.05,18.95,35.03,0.24,36,18,8,1,12.0,19.0,80.0,58.0,13.0,False
8.0,1.0,1.0,1.0,0.42,2.4,38.07,0.03,4,0,2,0,4.0,10.0,12.0,12.0,1.0,False
18.0,1.0,1.0,1.0,0.11,9.5,22.46,0.07,14,0,2,0,10.0,10.0,28.0,19.0,1.0,False
45.0,13.0,5.0,7.0,0.05,20.63,51.4,0.34,37,0,5,0,20.0,34.0,101.0,70.0,25.0,False
22.0,3.0,1.0,3.0,0.08,12.27,18.56,0.07,15,0,4,0,12.0,11.0,28.0,23.0,5.0,False
7.0,1.0,1.0,1.0,0.13,7.5,4.14,0.02,4,0,0,0,5.0,2.0,11.0,5.0,1.0,False
11.0,1.0,1.0,1.0,0.2,4.9,14.99,0.03,7,0,2,0,7.0,5.0,12.0,7.0,1.0,False
9.0,2.0,1.0,2.0,0.18,5.32,26.55,0.05,7,0,0,0,9.0,11.0,21.0,13.0,3.0,False
11.0,1.0,1.0,1.0,0.15,6.68,30.19,0.08,9,0,0,0,6.0,11.0,36.0,23.0,1.0,False
18.0,1.0,1.0,1.0,0.12,8.46,27.87,0.07,11,0,3,0,11.0,13.0,31.0,19.0,1.0,False
6.0,1.0,1.0,1.0,0.4,2.5,25.16,0.02,4,0,0,0,4.0,7.0,8.0,7.0,1.0,False
15.0,2.0,1.0,2.0,0.04,25.38,13.19,0.11,14,0,1,0,17.0,8.0,46.0,29.0,3.0,False
8.0,1.0,1.0,1.0,0.22,4.4,34.34,0.05,6,0,0,0,6.0,10.0,21.0,16.0,1.0,False
32.0,7.0,6.0,2.0,0.05,21.16,22.06,0.15,24,0,7,0,19.0,16.0,54.0,37.0,13.0,False
14.0,1.0,1.0,1.0,0.1,10.4,28.55,0.1,10,0,3,0,13.0,15.0,39.0,23.0,1.0,False
73.0,10.0,9.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,False
55.0,12.0,7.0,7.0,0.03,36.67,26.77,0.33,52,0,3,0,24.0,18.0,113.0,66.0,23.0,False
7.0,1.0,1.0,1.0,0.33,3.0,22.94,0.02,5,0,0,0,6.0,7.0,9.0,7.0,1.0,False
82.0,15.0,13.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,False
72.0,7.0,5.0,3.0,0.04,23.71,39.19,0.31,54,0,13,0,19.0,28.0,104.0,74.0,13.0,False
10.0,1.0,1.0,1.0,0.15,6.75,11.4,0.03,6,0,2,0,9.0,4.0,12.0,6.0,1.0,False
8.0,1.0,1.0,1.0,0.4,2.5,28.91,0.02,47,0,1,0,5.0,7.0,9.0,7.0,1.0,False
37.0,5.0,1.0,4.0,0.05,21.11,23.68,0.17,27,3,5,0,19.0,21.0,69.0,45.0,9.0,False
19.0,1.0,1.0,1.0,0.09,11.0,19.67,0.08,13,0,3,0,12.0,10.0,31.0,19.0,1.0,False
9.0,2.0,1.0,2.0,0.17,6.0,12.69,0.03,6,0,1,0,9.0,5.0,14.0,7.0,3.0,False
6.0,1.0,1.0,1.0,0.4,2.5,13.2,0.01,3,0,0,0,4.0,4.0,7.0,4.0,1.0,False
27.0,1.0,1.0,1.0,0.15,6.72,24.28,0.05,13,8,3,0,11.0,9.0,24.0,11.0,1.0,False
46.0,8.0,1.0,2.0,0.03,30.0,23.9,0.21,30,3,7,0,15.0,15.0,82.0,40.0,15.0,False
94.0,11.0,9.0,8.0,0.05,22.19,72.46,0.55,69,0,4,12,17.0,52.0,156.0,116.0,21.0,False
14.0,1.0,1.0,1.0,0.3,3.33,39.65,0.05,7,0,2,0,5.0,15.0,21.0,16.0,1.0,False
61.0,3.0,1.0,1.0,0.06,15.6,65.89,0.34,45,1,7,0,16.0,27.0,99.0,80.0,5.0,False
23.0,3.0,1.0,2.0,0.06,15.5,22.55,0.12,19,0,0,0,14.0,14.0,49.0,31.0,5.0,False
7.0,2.0,1.0,2.0,0.13,7.5,13.88,0.02,5,0,0,0,9.0,3.0,15.0,5.0,3.0,False
52.0,5.0,1.0,5.0,0.05,20.79,43.39,0.3,40,1,11,0,15.0,29.0,90.0,76.0,9.0,False
74.0,16.0,14.0,3.0,0.02,45.54,36.93,0.49,58,6,8,0,20.0,27.0,172.0,101.0,31.0,False
41.0,5.0,1.0,4.0,0.06,18.16,31.73,0.2,34,0,5,0,17.0,18.0,70.0,43.0,9.0,False
11.0,1.0,1.0,1.0,0.11,9.0,13.11,0.04,8,0,1,0,9.0,5.0,21.0,10.0,1.0,False
48.0,7.0,1.0,5.0,0.03,29.75,20.98,0.21,34,0,8,0,17.0,14.0,77.0,49.0,13.0,False
11.0,2.0,1.0,1.0,0.22,4.5,16.73,0.03,8,0,1,0,8.0,6.0,12.0,9.0,3.0,False
47.0,4.0,4.0,3.0,0.06,16.87,39.42,0.19,32,0,13,0,13.0,25.0,64.0,45.0,7.0,False
14.0,2.0,1.0,2.0,0.15,6.8,26.6,0.05,12,0,2,0,8.0,10.0,20.0,16.0,3.0,False
32.0,3.0,1.0,2.0,0.09,11.14,40.81,0.16,24,0,5,0,12.0,21.0,63.0,32.0,5.0,False
6.0,1.0,1.0,1.0,0.4,2.5,23.78,0.02,4,0,0,0,5.0,9.0,9.0,9.0,1.0,False
23.0,5.0,3.0,1.0,0.04,25.31,15.78,0.12,17,0,4,0,16.0,8.0,54.0,30.0,9.0,False
84.0,18.0,6.0,11.0,0.03,36.31,49.54,0.57,69,6,6,0,28.0,42.0,177.0,101.0,35.0,False
33.0,7.0,4.0,1.0,0.04,23.33,12.99,0.09,21,4,5,0,15.0,9.0,35.0,28.0,13.0,False
22.0,4.0,1.0,1.0,0.08,12.66,29.89,0.12,13,0,5,0,15.0,16.0,45.0,26.0,7.0,False
12.0,2.0,1.0,1.0,0.09,11.0,9.25,0.04,8,0,2,0,12.0,6.0,19.0,10.0,3.0,False
12.0,2.0,1.0,2.0,0.13,8.0,11.23,0.03,6,0,2,0,10.0,5.0,15.0,8.0,3.0,False
11.0,3.0,1.0,3.0,0.11,8.8,22.46,0.07,6,0,3,0,11.0,10.0,25.0,16.0,5.0,False
7.0,1.0,1.0,1.0,0.29,3.43,20.51,0.02,5,0,0,0,6.0,7.0,12.0,7.0,1.0,False
12.0,2.0,1.0,2.0,0.19,5.33,12.16,0.02,10,0,0,0,8.0,6.0,11.0,8.0,3.0,False
8.0,1.0,1.0,1.0,0.28,3.6,14.34,0.02,4,0,2,0,6.0,5.0,10.0,6.0,1.0,False
19.0,1.0,1.0,1.0,0.21,4.85,30.37,0.05,10,0,3,0,8.0,13.0,19.0,14.0,1.0,False
27.0,4.0,1.0,3.0,0.09,11.65,27.19,0.11,19,2,4,0,15.0,17.0,38.0,25.0,7.0,False
33.0,3.0,1.0,1.0,0.06,16.35,19.72,0.11,22,1,7,0,15.0,13.0,41.0,30.0,5.0,False
10.0,2.0,1.0,2.0,0.15,6.82,23.19,0.05,6,0,1,0,10.0,11.0,21.0,15.0,3.0,False
18.0,2.0,1.0,1.0,0.13,7.86,17.17,0.04,13,0,2,0,11.0,7.0,22.0,11.0,3.0,False
15.0,3.0,1.0,2.0,0.09,11.0,10.77,0.04,12,0,1,0,9.0,5.0,17.0,12.0,5.0,False
11.0,2.0,1.0,2.0,0.29,3.5,10.44,0.01,9,0,0,0,7.0,3.0,8.0,3.0,3.0,False
24.0,11.0,7.0,6.0,0.06,17.31,20.69,0.12,18,0,3,0,15.0,13.0,44.0,28.0,21.0,False
16.0,3.0,1.0,3.0,0.12,8.46,24.33,0.06,10,0,4,0,11.0,13.0,27.0,15.0,5.0,False
204.0,18.0,13.0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,35.0,False
41.0,2.0,1.0,1.0,0.08,13.33,48.85,0.23,33,1,7,0,16.0,27.0,71.0,50.0,3.0,False
13.0,5.0,5.0,5.0,0.17,6.05,42.3,0.09,9,0,2,0,10.0,19.0,30.0,24.0,9.0,False
5.0,2.0,1.0,1.0,0.29,3.5,10.79,0.02,3,0,0,0,7.0,6.0,8.0,7.0,3.0,False
17.0,2.0,1.0,2.0,0.12,8.1,11.89,0.03,14,1,1,0,9.0,5.0,16.0,9.0,3.0,False
20.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,14.0,0.0,0.0,0.0,5.0,False
53.0,6.0,1.0,6.0,0.05,21.25,52.31,0.34,42,0,8,0,15.0,32.0,101.0,73.0,11.0,False
8.0,1.0,1.0,1.0,0.19,5.25,16.92,0.03,4,0,2,0,8.0,6.0,17.0,7.0,1.0,False
15.0,2.0,1.0,2.0,0.21,4.8,20.38,0.03,10,0,3,0,8.0,10.0,15.0,12.0,3.0,False
5.0,2.0,1.0,1.0,0.21,4.67,14.14,0.02,3,0,0,0,8.0,6.0,12.0,7.0,3.0,False
8.0,1.0,1.0,1.0,0.33,3.0,34.15,0.04,5,0,1,0,6.0,20.0,15.0,12.0,1.0,False
24.0,3.0,1.0,3.0,0.25,4.0,53.87,0.07,18,4,0,0,7.0,14.0,26.0,20.0,5.0,False
26.0,6.0,1.0,3.0,0.05,19.76,24.41,0.16,22,0,2,0,19.0,17.0,55.0,39.0,11.0,False
12.0,2.0,1.0,3.0,0.09,11.38,23.28,0.09,9,0,1,0,13.0,12.0,37.0,21.0,3.0,False
23.0,2.0,1.0,2.0,0.1,10.5,19.29,0.06,16,0,5,0,14.0,11.0,27.0,14.0,3.0,False
24.0,3.0,1.0,2.0,0.05,21.0,23.59,0.17,18,0,4,0,16.0,14.0,54.0,33.0,5.0,False
41.0,5.0,1.0,1.0,0.04,25.45,23.82,0.18,32,3,4,0,12.0,11.0,75.0,45.0,9.0,False
24.0,3.0,1.0,1.0,0.09,11.5,25.27,0.1,19,0,3,0,9.0,12.0,36.0,33.0,5.0,False
185.0,33.0,15.0,11.0,0.03,39.39,58.35,0.77,106,59,13,0,29.0,47.0,214.0,162.0,59.0,False
19.0,2.0,1.0,2.0,0.15,6.55,24.26,0.05,8,5,4,0,9.0,11.0,21.0,16.0,3.0,False
23.0,6.0,6.0,5.0,0.06,15.88,25.3,0.13,19,0,3,0,18.0,17.0,52.0,30.0,11.0,False
15.0,1.0,1.0,1.0,0.1,10.0,16.42,0.06,9,0,3,0,10.0,9.0,26.0,15.0,1.0,False
15.0,7.0,4.0,4.0,0.05,21.94,20.48,0.15,13,0,0,1,16.0,14.0,56.0,39.0,13.0,False
22.0,1.0,1.0,1.0,0.11,8.74,61.9,0.11,16,0,4,0,9.0,17.0,41.0,29.0,1.0,False
6.0,1.0,1.0,1.0,0.25,4.0,9.51,0.01,3,0,0,0,6.0,3.0,7.0,4.0,1.0,False
10.0,2.0,1.0,1.0,0.12,8.1,8.93,0.02,7,0,1,0,9.0,5.0,10.0,9.0,3.0,False
18.0,2.0,1.0,2.0,0.1,9.75,20.69,0.06,17,0,1,0,13.0,12.0,26.0,19.0,3.0,False
16.0,2.0,1.0,2.0,0.1,10.0,17.13,0.06,11,0,3,0,12.0,9.0,26.0,15.0,3.0,False
14.0,2.0,1.0,2.0,0.11,8.82,31.35,0.09,8,0,4,0,12.0,17.0,33.0,25.0,3.0,False
13.0,2.0,1.0,2.0,0.17,6.0,22.45,0.04,7,0,2,0,10.0,10.0,20.0,12.0,3.0,False
19.0,3.0,1.0,1.0,0.08,12.35,18.68,0.08,15,4,4,0,13.0,10.0,33.0,19.0,5.0,False
38.0,8.0,3.0,8.0,0.07,15.04,47.87,0.25,31,0,3,0,15.0,27.0,88.0,55.0,9.0,False
9.0,1.0,1.0,1.0,0.13,8.0,13.02,0.03,6,0,1,0,9.0,5.0,17.0,9.0,1.0,False
69.0,12.0,7.0,3.0,0.05,19.53,62.76,0.41,45,6,15,0,19.0,36.0,119.0,74.0,23.0,False
50.0,10.0,9.0,3.0,0.03,37.5,39.21,0.47,45,0,4,0,21.0,20.0,160.0,80.0,19.0,False
5.0,1.0,1.0,1.0,0.19,5.25,8.88,0.01,3,0,0,0,6.0,3.0,8.0,7.0,1.0,False
14.0,2.0,1.0,2.0,0.16,6.25,22.69,0.05,9,1,2,0,10.0,10.0,20.0,15.0,3.0,False
22.0,4.0,3.0,2.0,0.11,8.82,30.71,0.09,12,1,4,2,10.0,17.0,33.0,25.0,7.0,False
47.0,16.0,12.0,9.0,0.05,21.95,36.89,0.27,36,3,7,0,16.0,22.0,89.0,59.0,31.0,False
14.0,2.0,1.0,1.0,0.22,4.5,17.36,0.03,11,0,1,0,9.0,6.0,14.0,6.0,3.0,False
48.0,10.0,1.0,6.0,0.03,29.62,22.67,0.24,38,0,6,0,20.0,17.0,88.0,47.0,19.0,False
33.0,9.0,6.0,3.0,0.05,19.5,33.4,0.23,29,0,2,0,17.0,22.0,75.0,52.0,17.0,False
5.0,2.0,1.0,1.0,0.25,4.0,16.12,0.02,3,0,0,0,8.0,7.0,10.0,8.0,3.0,False
17.0,2.0,1.0,2.0,0.16,6.29,32.49,0.07,11,0,3,0,11.0,14.0,28.0,16.0,3.0,False
6.0,1.0,1.0,1.0,0.12,8.94,20.91,0.06,3,0,0,0,11.0,8.0,31.0,13.0,1.0,False
57.0,3.0,1.0,3.0,0.11,9.14,88.18,0.35,48,0,3,0,8.0,32.0,105.0,72.0,5.0,False
12.0,2.0,1.0,2.0,0.16,6.19,15.29,0.03,9,0,1,0,9.0,8.0,15.0,9.0,3.0,False
43.0,4.0,1.0,2.0,0.06,16.67,41.44,0.22,30,4,5,0,17.0,24.0,76.0,50.0,7.0,False
54.0,12.0,12.0,3.0,0.04,24.75,40.53,0.31,36,5,6,2,18.0,28.0,94.0,77.0,23.0,False
53.0,8.0,1.0,6.0,0.05,20.58,43.79,0.32,43,2,8,0,17.0,26.0,92.0,78.0,15.0,False
13.0,2.0,1.0,2.0,0.19,5.33,26.6,0.05,8,0,3,0,8.0,11.0,19.0,14.0,3.0,False
14.0,2.0,1.0,2.0,0.19,5.33,31.35,0.05,10,0,2,0,8.0,12.0,18.0,16.0,3.0,False
16.0,4.0,1.0,3.0,0.08,12.92,19.5,0.08,12,0,2,0,14.0,12.0,34.0,20.0,7.0,False
